std_id,acres,description
15609_646,61.92,Loblolly Pine Forest underplanted with Longleaf
15609_647,84.18,Loblolly Pine Forest underplanted with Longleaf
15609_648,61.49,Loblolly Pine Forest underplanted with Longleaf
15609_649,17.69,Planted Loblolly Pine Forest
15610_650,90.49,Planted Longleaf Pine Forest
15610_651,9.22,Mesic Hardwood Forest
15611_652,230.3,Planted Loblolly Pine Forest
15611_653,0.78,Mesic Hardwood Forest
15611_654,13.78,Mesic Hardwood Forest
15611_656,14.29,Mesic Hardwood Forest
15611_661,0.67,Upland Hardwood Forest
15612_662,50.23,"Non-Forest, Plantable"
15612_663,5.52,Natural Loblolly Pine Forest
15612_664,12.74,Nontimbered
15612_665,97.95,"Non-Forest, Plantable"
15612_666,63.74,"Non-Forest, Plantable"
15612_667,81.54,"Non-Forest, Plantable"
15612_668,94.29,"Non-Forest, Plantable"
15612_669,92.75,"Non-Forest, Plantable"
15612_670,26.31,"Non-Forest, Plantable"
15612_671,0.63,Nontimbered
15612_672,64.34,"Non-Forest, Plantable"
15612_673,41.51,Planted Longleaf Pine Forest
15612_674,3.99,Nontimbered
15612_675,40.57,"Non-Forest, Plantable"
15612_676,32.36,"Non-Forest, Plantable"
15612_677,119.86,"Non-Forest, Plantable"
15612_678,45.46,"Non-Forest, Plantable"
15612_679,44.17,"Non-Forest, Plantable"
15612_680,39.86,"Non-Forest, Plantable"
15613_681,2.67,Nontimbered
15613_682,70.03,Planted Loblolly Pine Forest
15613_683,158.56,Planted Loblolly Pine Forest
15613_684,64.39,Planted Loblolly Pine Forest
15613_685,28.12,Planted Loblolly Pine Forest
15613_686,43.93,Mesic Hardwood Forest
15613_687,14.8,Planted Loblolly Pine Forest
15613_688,24.09,Mesic Hardwood Forest
15613_689,9.89,Mesic Hardwood Forest
15613_690,2.9,Mesic Hardwood Forest
15613_691,14.4,Planted Loblolly Pine Forest
15613_692,22.88,Planted Loblolly Pine Forest
15613_693,38.71,Planted Loblolly Pine Forest
15613_694,27,Nontimbered
15613_695,15.09,Natural Loblolly Pine Forest
15613_696,7.58,Natural Loblolly Pine Forest
15613_697,47.51,Planted Loblolly Pine Forest
15613_699,8.71,Nontimbered
15613_700,1.62,Nontimbered
15613_701,48.15,Planted Loblolly Pine Forest
15614_702,60.46,Planted Loblolly Pine Forest
15614_704,5.29,Planted Loblolly Pine Forest
15614_706,12.61,Mesic Hardwood Forest
15614_706,2.01,Mesic Hardwood Forest
15615_709,63.61,Planted Longleaf Pine Forest
15615_710,10.52,Planted Loblolly Pine Forest
15615_711,37.82,Mesic Hardwood Forest
15615_712,149.22,Mesic Hardwood Forest
15615_713,14.98,Mesic Hardwood Forest
15615_714,29.88,Nontimbered
15615_715,6.64,Nontimbered
15615_716,73.01,Natural Loblolly Pine Forest
15615_717,9.55,Planted Loblolly Pine Forest
15615_718,217.76,Planted Longleaf Pine Forest
15615_719,2.05,Nontimbered
15615_720,2.47,Nontimbered
15615_721,4.53,Nontimbered
15615_722,2.4,Nontimbered
15615_723,1.22,Nontimbered
15615_724,5.22,Nontimbered
15615_725,17.5,Nontimbered
15615_726,6.9,Nontimbered
15615_727,15.29,Nontimbered
15615_728,0.61,Nontimbered
15615_729,8.64,Nontimbered
15615_730,0.78,Nontimbered
15615_731,1.48,Nontimbered
15615_732,18.02,Nontimbered
15615_733,1.89,Natural Longleaf Pine Forest
15615_735,16.02,Natural Loblolly Pine Forest
15615_736,209.24,Planted Longleaf Pine Forest
15615_737,15.8,Natural Longleaf Pine Forest
15615_738,15.19,Natural Loblolly Pine Forest
15615_739,7.35,Planted Loblolly Pine Forest
15615_740,9.09,Natural Loblolly Pine Forest
15615_741,4.54,Upland Hardwood Forest
15615_742,5.09,Natural Longleaf Pine Forest
15616_741,122.79,Planted Longleaf Pine Forest
15616_742,2.9,Planted Longleaf Pine Forest
15616_743,22.21,Planted Longleaf Pine Forest
15616_744,87.89,Planted Loblolly Pine Forest
15616_745,0.99,Natural Longleaf Pine Forest
15616_746,9.66,Planted Loblolly Pine Forest
15616_747,14.82,Mesic Hardwood Forest
15616_748,17.53,Planted Loblolly Pine Forest
15616_749,47.07,Mesic Hardwood Forest
15616_750,1.21,Planted Loblolly Pine Forest
15616_751,6.6,Planted Loblolly Pine Forest
15616_752,1.97,Planted Loblolly Pine Forest
15616_754,4.29,Planted Loblolly Pine Forest
15616_755,11.3,Planted Loblolly Pine Forest
15616_756,11.3,Nontimbered
15616_757,38.68,Planted Loblolly Pine Forest
15616_759,85.74,Mesic Hardwood Forest
15616_761,1.21,Mesic Hardwood Forest
15616_762,5.69,Mesic Hardwood Forest
15616_763,3.08,Mesic Hardwood Forest
15616_765,42.09,Planted Loblolly Pine Forest
15616_766,370.1,Planted Loblolly Pine Forest
15616_767,93.91,Planted Longleaf Pine Forest
15617_767,5.73,Planted Longleaf Pine Forest
15617_768,5.45,Planted Longleaf Pine Forest
15617_769,42.66,Planted Longleaf Pine Forest
15617_770,163.39,Planted Longleaf Pine Forest
15617_771,32.07,Planted Longleaf Pine Forest
15618_773,27.41,Natural Loblolly Pine Forest
15618_774,10.04,Natural Loblolly Pine Forest
15618_775,12.28,Natural Loblolly Pine Forest
15618_776,24.73,Natural Loblolly Pine Forest
15619_778,0.88,Upland Hardwood Forest
15619_779,3.11,Mesic Hardwood Forest
15619_780,26.68,Natural Loblolly Pine Forest
15619_781,79.73,Planted Loblolly Pine Forest
15619_782,11.37,Nontimbered
15619_783,15.62,Upland Hardwood Forest
15619_784,8.46,Natural Longleaf Pine Forest
15619_785,18.49,Natural Loblolly Pine Forest
15619_786,23.06,Mesic Hardwood Forest
15619_787,0.88,Natural Longleaf Pine Forest
15619_788,4.6,Upland Hardwood Forest
15619_789,11.64,Natural Loblolly Pine Forest
15620_790,171.7,Natural Loblolly Pine Forest
15620_791,6.8,Natural Loblolly Pine Forest
15621_794,26.08,Natural Longleaf Pine Forest
15621_796,4.73,Nontimbered
15621_797,24.05,Nontimbered
15621_797,1.94,Natural Longleaf Pine Forest
15621_798,6.53,Upland Hardwood Forest
