std_id,acres,description
15588_52,9.75,Planted Loblolly Pine Forest
15588_53,0.47,Nontimbered
15588_54,34.3,Natural Loblolly Pine Forest
15588_55,7.49,Natural Loblolly Pine Forest
15588_56,1.17,Natural Longleaf Pine Forest
15588_562,5.16,Planted Loblolly Pine Forest
15588_563,8.51,Mesic Hardwood Forest
15588_564,42.29,Natural Loblolly Pine Forest
15588_565,7.31,Planted Longleaf Pine Forest
15588_57,6.01,Nontimbered
15588_58,6.92,Nontimbered
15588_59,13.09,Upland Hardwood Forest
15588_6,46.72,Planted Loblolly Pine Forest
15588_60,17.16,Planted Longleaf Pine Forest
15588_61,763.15,Mesic Hardwood Forest
15588_62,24.29,Planted Longleaf Pine Forest
15588_63,11.43,Natural Longleaf Pine Forest
15588_64,49.73,Natural Loblolly Pine Forest
15588_65,31.52,Planted Loblolly Pine Forest
15588_66,1.86,Natural Longleaf Pine Forest
15588_67,42.3,Planted Longleaf Pine Forest
15588_68,57.77,Planted Longleaf Pine Forest
15588_69,0.49,Nontimbered
15588_69,6.56,Natural Loblolly Pine Forest
15588_7,0.43,Nontimbered
15588_70,24.32,Planted Loblolly Pine Forest
15588_71,0.55,Nontimbered
15588_73,39.72,Natural Loblolly Pine Forest
15588_74,22.02,Natural Longleaf Pine Forest
15588_75,31.6,Planted Loblolly Pine Forest
15588_76,0.65,Nontimbered
15588_77,74.7,Planted Longleaf Pine Forest
15588_78,50.89,Planted Longleaf Pine Forest
15588_79,32.2,Natural Loblolly Pine Forest
15588_8,0.31,Nontimbered
15588_80,111.03,Planted Longleaf Pine Forest
15588_81,21.18,Nontimbered
15588_82,19.44,Planted Longleaf Pine Forest
15588_83,57.68,Planted Longleaf Pine Forest
15588_84,35.32,Planted Loblolly Pine Forest
15588_85,22.23,Planted Loblolly Pine Forest
15588_87,65.99,Mesic Hardwood Forest
15588_88,10.47,Natural Loblolly Pine Forest
15588_89,41.51,Planted Loblolly Pine Forest
15588_9,0.58,Nontimbered
15588_90,18.84,Natural Loblolly Pine Forest
15588_91,44.1,Planted Loblolly Pine Forest
15588_92,211.6,Planted/Naturalized Sand Pine Forest
15588_93,7.41,Mesic Hardwood Forest
15588_94,1.84,Mesic Hardwood Forest
15588_95,12.74,Planted Loblolly Pine Forest
15588_96,18.65,Natural Longleaf Pine Forest
15588_97,4.14,Nontimbered
15588_98,7.53,Natural Longleaf Pine Forest
15588_99,58.32,Planted Longleaf Pine Forest
15589_268,356.54,Planted Loblolly Pine Forest
15589_269,37.88,Mesic Hardwood Forest
15590_271,12.85,Upland Hardwood Forest
15590_272,2.71,Nontimbered
15590_273,8.06,Upland Hardwood Forest
15590_274,13.9,"Non-Forest, Plantable"
15590_275,14.1,Nontimbered
15590_276,25.75,Upland Hardwood Forest
15590_277,3.65,Nontimbered
15590_278,5.63,Upland Hardwood Forest
15590_279,4.71,Nontimbered
15590_280,6.88,Natural Longleaf Pine Forest
15590_281,0.7,Nontimbered
15590_282,8.11,"Non-Forest, Plantable"
15590_283,1.66,Planted Longleaf Pine Forest
